                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92547,                0.46733,                  0.812,                0.80775,                0.75389,                0.77283,                0.51538,                0.88035,                0.48199,                0.81162,             0.00081688,             0.00081688,             0.00081688
                     37,                0.93101,                0.47164,                0.80544,                0.85163,                0.76516,                0.80045,                0.52336,                0.80119,                0.43556,                0.81054,              0.0008045,              0.0008045,              0.0008045
                     38,                0.90256,                  0.461,                0.80491,                0.89764,                0.73383,                0.79338,                0.53119,                0.87203,                0.45501,                0.81021,             0.00079213,             0.00079213,             0.00079213
                     39,                0.89536,                 0.4645,                0.80353,                0.87385,                0.75116,                0.79917,                0.50908,                0.84154,                0.45934,                0.80782,             0.00077975,             0.00077975,             0.00077975
                     40,                0.87644,                0.45184,                0.80411,                0.78025,                0.75145,                0.77686,                0.52966,                0.82569,                0.44076,                0.81056,             0.00076738,             0.00076738,             0.00076738
                     41,                0.92185,                 0.4691,                  0.809,                0.88606,                0.75596,                0.79221,                0.54279,                0.83829,                0.44524,                0.80858,               0.000755,               0.000755,               0.000755
                     42,                 0.8829,                 0.4484,                0.80307,                0.88461,                0.77048,                0.80054,                 0.5565,                0.78058,                0.42186,                 0.8045,             0.00074263,             0.00074263,             0.00074263
                     43,                0.87114,                0.45031,                0.80092,                0.86194,                0.75167,                0.80039,                0.54543,                0.76948,                0.41965,                0.80167,             0.00073025,             0.00073025,             0.00073025
                     44,                0.85184,                 0.4393,                0.80637,                0.85239,                0.75202,                0.79647,                0.54672,                0.79884,                0.43008,                0.80551,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.8744,                0.45096,                 0.8047,                0.80829,                0.73186,                0.78019,                 0.5202,                0.81295,                 0.4539,                0.80604,              0.0007055,              0.0007055,              0.0007055
                     46,                0.88624,                0.45285,                0.79983,                0.83434,                0.78504,                0.78559,                0.54017,                0.79878,                0.43408,                0.80176,             0.00069313,             0.00069313,             0.00069313
                     47,                0.85192,                0.43655,                0.80236,                0.86909,                0.76442,                0.79696,                0.54129,                 0.8036,                0.43018,                 0.8052,             0.00068075,             0.00068075,             0.00068075
                     48,                0.89003,                0.45058,                0.80304,                 0.8823,                0.76922,                0.80268,                0.53908,                0.82284,                0.44938,                0.80708,             0.00066838,             0.00066838,             0.00066838
                     49,                0.91279,                0.46342,                0.80628,                0.90592,                0.76976,                 0.8014,                0.55258,                0.79517,                0.42999,                0.80371,               0.000656,               0.000656,               0.000656
                     50,                0.87683,                0.44465,                 0.8052,                0.91345,                0.74678,                0.79869,                0.53734,                0.79541,                0.44125,                0.80431,             0.00064362,             0.00064362,             0.00064362
                     51,                0.89339,                0.46072,                0.80584,                0.92032,                0.74245,                0.79786,                 0.5365,                0.89499,                0.46015,                0.80851,             0.00063125,             0.00063125,             0.00063125
                     52,                0.90871,                0.46076,                0.80426,                0.88252,                0.78629,                0.81663,                0.55158,                0.83788,                0.43041,                0.80701,             0.00061887,             0.00061887,             0.00061887
                     53,                0.90681,                0.45168,                0.79926,                0.89266,                 0.7481,                0.81944,                0.53582,                0.84696,                0.44311,                0.80503,              0.0006065,              0.0006065,              0.0006065
                     54,                0.87712,                0.43996,                0.80056,                0.84465,                0.79288,                0.81368,                0.56072,                0.77528,                0.41727,                0.80252,             0.00059413,             0.00059413,             0.00059413
                     55,                0.83369,                0.42783,                0.80293,                0.90393,                0.76528,                0.81682,                0.56681,                0.75089,                0.40785,                0.80028,             0.00058175,             0.00058175,             0.00058175
                     56,                0.83511,                0.42199,                0.79732,                0.93049,                0.74513,                0.81875,                0.56376,                0.75027,                 0.3974,                0.79962,             0.00056938,             0.00056938,             0.00056938
                     57,                0.82637,                0.41895,                 0.8027,                0.90606,                0.75244,                0.82232,                0.57093,                0.77447,                0.41724,                0.80123,               0.000557,               0.000557,               0.000557
                     58,                0.83064,                0.42271,                0.79631,                0.88837,                0.73998,                0.81768,                0.54861,                0.77307,                 0.4153,                0.80084,             0.00054463,             0.00054463,             0.00054463
                     59,                0.83483,                0.42225,                0.79946,                0.86895,                0.77783,                0.81321,                0.55177,                0.78212,                0.41763,                0.80176,             0.00053225,             0.00053225,             0.00053225
                     60,                0.87763,                0.44174,                0.79887,                 0.8706,                 0.7389,                0.79021,                0.54147,                0.83623,                0.45261,                0.80198,             0.00051988,             0.00051988,             0.00051988
                     61,                0.88554,                0.44617,                0.79671,                0.85592,                0.75905,                0.81778,                0.52701,                0.88656,                0.44338,                0.80633,              0.0005075,              0.0005075,              0.0005075
                     62,                0.88928,                0.44788,                0.80208,                0.87726,                0.76725,                0.82327,                  0.564,                0.80573,                0.42367,                 0.8038,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.8571,                0.42753,                0.80122,                0.88429,                0.79084,                0.82673,                0.55254,                0.75609,                0.40007,                0.80385,             0.00048275,             0.00048275,             0.00048275
                     64,                0.84131,                0.42285,                0.79808,                0.89882,                0.75905,                0.81539,                0.55845,                0.75935,                0.40631,                0.80342,             0.00047038,             0.00047038,             0.00047038
                     65,                0.82136,                0.41019,                0.79707,                0.88669,                0.76316,                0.81314,                0.56258,                0.75148,                0.39861,                0.80093,               0.000458,               0.000458,               0.000458
                     66,                0.81431,                0.40238,                0.79538,                0.89497,                0.74448,                0.82703,                0.57228,                0.76047,                0.40928,                0.80116,             0.00044563,             0.00044563,             0.00044563
                     67,                0.81362,                0.40626,                0.79609,                0.90871,                0.75955,                0.82754,                0.56991,                0.74767,                0.39869,                0.80117,             0.00043325,             0.00043325,             0.00043325
                     68,                0.80722,                0.40671,                0.79733,                0.91597,                0.75974,                0.82264,                0.55985,                0.77323,                0.40547,                0.80309,             0.00042087,             0.00042087,             0.00042087
                     69,                0.82154,                0.41758,                0.79451,                0.90993,                0.75393,                0.81452,                0.56425,                0.75908,                  0.404,                0.80077,              0.0004085,              0.0004085,              0.0004085
                     70,                  0.805,                0.40539,                0.79673,                0.89273,                0.75179,                0.81967,                 0.5741,                0.75788,                 0.4034,                0.80076,             0.00039613,             0.00039613,             0.00039613
                     71,                0.81077,                0.40585,                0.79411,                0.90453,                0.76554,                0.83065,                0.57769,                0.74053,                0.40351,                0.80084,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.8039,                0.40505,                0.79792,                0.90723,                0.77064,                0.82804,                0.57576,                0.75458,                0.39717,                0.80178,             0.00037138,             0.00037138,             0.00037138
                     73,                0.82947,                0.41141,                0.79807,                0.88256,                 0.7928,                0.82557,                0.55467,                0.79789,                 0.4155,                0.80499,               0.000359,               0.000359,               0.000359
